model,mean_si,runs_completed,run_sis
gpt-3.5-turbo,0.22580678866335072,30,"[0.06379172579119596, 0.20587871966847726, 0.19151896611658126, 0.3436365483778978, 0.3140305904056264, 0.29356967693988256, 0.13795598894637884, 0.26878803374210336, 0.09111640483709027, 0.161592025075753, 0.3891637297972812, 0.33703796344575787, 0.14007870239337095, 0.05404993033239225, 0.2114208546555223, 0.24151745966418425, 0.560455191448856, 0.44246227728843013, 0.11230899775383096, 0.274899445389992, 0.06984790636496352, 0.040762698067688063, 0.1726452721100975, 0.5486384544450391, 0.06017721799124476, 0.12050452517465571, 0.3781788147325491, 0.23783946830674085, 0.1057995696002545, 0.2045365010366842]"
gpt-4o,1.4658255624994327,3,"[1.3772309850404445, 1.5687474645268187, 1.4514982379310353]"
gpt-5.5,1.8714268788750004,30,"[2.0, 1.5976111392172359, 1.8901257532696216, 2.0, 1.4651348105102087, 1.8901257532696216, 2.0, 1.7802515065392432, 1.8901257532696216, 2.0, 1.8901257532696216, 1.8901257532696216, 1.8901257532696216, 2.0, 1.8901257532696216, 1.7802515065392432, 1.8901257532696216, 1.8901257532696216, 1.7802515065392432, 1.657012370866071, 1.7276201478575333, 2.0, 1.7728768548723013, 1.7655022032053593, 2.0, 2.0, 2.0, 2.0, 1.8051625406769787, 2.0]"
