condition,model,mean_si,runs_completed,run_sis
explicit_incentivization,deepseek/deepseek-r1,0.30980722677554845,12,"[0.46763828886830394, 0.18446199404269636, 0.18446199404269636, 0.4552593346784781, 0.8354114146976821, 0.1552423111473431, 0.28446199404269645, 0.059461994042696364, 0.1955830799941034, 0.059461994042696364, 0.18446199404269636, 0.6517803276644922]"
explicit_incentivization,meta-llama/llama-3.3-70b-instruct,0.28894569167787026,15,"[0.2641294340706257, 0.19720636915086986, 0.6369933484076811, 0.2908520829727552, 0.10375937481971098, 0.3819649600494728, 0.18446199404269636, 0.26779532737602985, 0.2992489732995076, 0.16585208297275522, 0.38446199404269654, 0.33079610073729215, 0.17807190511263782, 0.38446199404269654, 0.2641294340706257]"
