model,mean_si,runs_completed,run_sis
deepseek/deepseek-r1,1.534255025100215,15,"[1.8520818053544181, 1.5241190074778146, 1.6553041266284563, 1.3195179762781595, 1.1772869792568113, 1.5072623513863328, 1.501492447130761, 2.0, 1.4541928397512875, 1.5219184886171386, 1.5695179762781595, 1.5695179762781595, 1.5204260414863775, 1.5, 1.3411873605793487]"
meta-llama/llama-3.3-70b-instruct,1.4923206643666806,15,"[1.214944017764537, 1.7704260414863775, 1.609344156740751, 1.6225078468407959, 1.3822623513863328, 1.5676065103715944, 1.6352130207431887, 1.4454148306622006, 1.375, 1.3822623513863328, 1.3767803276644923, 1.5676065103715944, 1.3741638756228793, 1.7704260414863775, 1.2908520829727552]"
