model,mean_si,runs_completed,run_sis
gpt-3.5-turbo,0.18040389019407913,30,"[0.04308737856681577, 0.24871641307128, 0.16306320472736058, 0.1045365010366841, 0.11058358285028946, 0.08525729390129477, 0.17370005102556374, 0.08568179365732176, 0.249542835095937, 0.059118672892094715, 0.15873113387893945, 0.14430537966669554, 0.3234504167974763, 0.06895331607663269, 0.12143611619625672, 0.26782276697193863, 0.11814892948585576, 0.3752087544682563, 0.18483079213329612, 0.20462924543972116, 0.1559735069391568, 0.12540496837291615, 0.14106342706007524, 0.34923231623587725, 0.33468448771075043, 0.41100570677294823, 0.05769441787162055, 0.08881531401444054, 0.13515116945299455, 0.32228681345188415]"
gpt-4o,1.4978322115614386,7,"[1.8901257532696216, 1.7613914992687587, 1.1978644538388261, 1.2908520829727552, 1.4052102185298176, 1.2701100431732106, 1.6692714298770797]"
gpt-5.5,1.844482708276485,30,"[1.7728768548723013, 2.0, 2.0, 1.64706227117839, 1.8901257532696216, 1.4349921136454316, 1.7728768548723013, 2.0, 2.0, 1.674345611127964, 1.64706227117839, 2.0, 2.0, 2.0, 1.8901257532696216, 2.0, 2.0, 1.441257107577477, 1.8901257532696216, 1.8901257532696216, 1.8901257532696216, 1.6859534811908663, 1.8901257532696216, 2.0, 1.5440404596879973, 2.0, 2.0, 1.8901257532696216, 1.8901257532696216, 1.5930081968064616]"
